Job Title,Company,Location,Link
Software Engineer,Vitec Nordman,"Stockholm County, Sweden (Hybrid)",https://www.linkedin.com/jobs/view/4238217679/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=SAbxx1Hc4x80cQuN0Uqckg%3D%3D&trk=flagship3_search_srp_jobs
Frontend Developer,micro1,EMEA (Remote),https://www.linkedin.com/jobs/view/4245237030/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=u6tD6SFxffT7z0ePQu3xYw%3D%3D&trk=flagship3_search_srp_jobs
Lead Solutions Engineer,micro1,EMEA (Remote),https://www.linkedin.com/jobs/view/4245509467/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=SZxGJFKWWZheeDXC2tW6DQ%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Engineer, Backend - AI",Camunda,EMEA (Remote),https://www.linkedin.com/jobs/view/4189731100/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=2CbFeKHQEpvZUtEeUiJzvQ%3D%3D&trk=flagship3_search_srp_jobs
Freelance Software Developer (Python) - Quality Assurance (AI Trainer),Mindrift,Sweden (Remote),https://www.linkedin.com/jobs/view/4245507440/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=yNctjDrDj%2BeGWbWN%2Blsr3w%3D%3D&trk=flagship3_search_srp_jobs
Senior Backend Engineer – Crypto,Fynity,European Union (Remote),https://www.linkedin.com/jobs/view/4242427635/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=i7zM0Ns%2BVXuIEri0sj%2FZJw%3D%3D&trk=flagship3_search_srp_jobs
Senior Mobile Engineer,H&M,"Stockholm, Stockholm County, Sweden (On-site)",https://www.linkedin.com/jobs/view/4245271336/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=BL%2BR3zwyF5%2FesXq5PSXhog%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer,Trimble Inc.,Greater Gothenburg Metropolitan Area (Remote),https://www.linkedin.com/jobs/view/4245234661/?eBP=BUDGET_EXHAUSTED_JOB&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=dsj9N5NhZcVB8eFPD6fC%2Fw%3D%3D&trk=flagship3_search_srp_jobs
Freelance Software Developer (Ruby) - AI Trainer,Mindrift,EMEA (Remote),https://www.linkedin.com/jobs/view/4242645004/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=3hNldVSiVeCRdZZNTT%2Ffjw%3D%3D&trk=flagship3_search_srp_jobs
"Junior Software Developer, Backend - Sectra Medical",Sectra,"Linköping, Östergötland County, Sweden (On-site)",https://www.linkedin.com/jobs/view/4138256780/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=q1scKtUMLQTeaEL19NPGCQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer,Acast,"Stockholm, Stockholm County, Sweden (Remote)",https://www.linkedin.com/jobs/view/4242904876/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=N%2B6d7HbC7ZS%2BLLbYlH4CPg%3D%3D&trk=flagship3_search_srp_jobs
Senior Calypso Developer,First Derivative,EMEA (Remote),https://www.linkedin.com/jobs/view/4245290876/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=7ok%2B1wf%2FZzt97F4FDBCMPQ%3D%3D&trk=flagship3_search_srp_jobs
"Software Developer, Backend - Sectra Medical",Sectra,"Linköping, Östergötland County, Sweden (On-site)",https://www.linkedin.com/jobs/view/4136524042/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=j7ujzdBBCsynE%2FNX0asa%2Fw%3D%3D&trk=flagship3_search_srp_jobs
C++ utvecklare,MCA Sweden,"Gothenburg, Västra Götaland County, Sweden (On-site)",https://www.linkedin.com/jobs/view/4201006251/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=aI7Q6JX8o%2BUZgiqv4M0nMg%3D%3D&trk=flagship3_search_srp_jobs
Senior Frontend Engineer,CoachHub - The digital coaching platform,EMEA (Remote),https://www.linkedin.com/jobs/view/4242693568/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=6lMR6YB4GZARYQ4YpmB3Qg%3D%3D&trk=flagship3_search_srp_jobs
Senior Frontend Engineer,CoachHub - The digital coaching platform,EMEA (Remote),https://www.linkedin.com/jobs/view/4242691805/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2B9gJi0wbixhoKD8umX%2FfeA%3D%3D&trackingId=H7ysiftKgf4%2FdiDDDtdk3A%3D%3D&trk=flagship3_search_srp_jobs
